,subdivision_id,division_id,name,local_name
745,56328,28,Kabupaten Banggai Laut,Kabupaten Banggai Laut
746,56383,28,Kabupaten Buol,Kabupaten Buol
747,56401,28,Kabupaten Donggala,Kabupaten Donggala
748,56541,28,Kabupaten Morowali Utara,Kabupaten Morowali Utara
749,56578,28,Kabupaten Parigi Moutong,Kabupaten Parigi Moutong
750,56598,28,Kabupaten Poso,Kabupaten Poso
751,56630,28,Kabupaten Sigi,Kabupaten Sigi
752,56682,28,Kabupaten Toli-Toli,Kabupaten Toli-Toli
753,56780,28,Kota Palu,Kota Palu
754,56849,28,Luwuk,Luwuk
755,56876,28,Morowali Regency,Morowali Regency
756,56901,28,Palu,Palu
757,56937,28,Poso,Poso
758,57034,28,Tojo Una-Una Regency,Tojo Una-Una Regency
759,56372,29,Kabupaten Bombana,Kabupaten Bombana
760,56386,29,Kabupaten Buton,Kabupaten Buton
761,56387,29,Kabupaten Buton Selatan,Kabupaten Buton Selatan
762,56388,29,Kabupaten Buton Tengah,Kabupaten Buton Tengah
763,56389,29,Kabupaten Buton Utara,Kabupaten Buton Utara
764,56461,29,Kabupaten Kolaka,Kabupaten Kolaka
765,56462,29,Kabupaten Kolaka Timur,Kabupaten Kolaka Timur
766,56463,29,Kabupaten Kolaka Utara,Kabupaten Kolaka Utara
767,56464,29,Kabupaten Konawe,Kabupaten Konawe
768,56465,29,Kabupaten Konawe Kepulauan,Kabupaten Konawe Kepulauan
769,56466,29,Kabupaten Konawe Selatan,Kabupaten Konawe Selatan
770,56467,29,Kabupaten Konawe Utara,Kabupaten Konawe Utara
771,56545,29,Kabupaten Muna,Kabupaten Muna
772,56546,29,Kabupaten Muna Barat,Kabupaten Muna Barat
773,56703,29,Katabu,Katabu
774,56712,29,Kendari,Kendari
775,56737,29,Kota Baubau,Kota Baubau
776,56758,29,Kota Kendari,Kota Kendari
777,57049,29,Wakatobi Regency,Wakatobi Regency
778,56368,30,Kabupaten Bolaang Mongondow,Kabupaten Bolaang Mongondow
779,56369,30,Kabupaten Bolaang Mongondow Selatan,Kabupaten Bolaang Mongondow Selatan
780,56370,30,Kabupaten Bolaang Mongondow Timur,Kabupaten Bolaang Mongondow Timur
781,56371,30,Kabupaten Bolaang Mongondow Utara,Kabupaten Bolaang Mongondow Utara
782,56454,30,Kabupaten Kepulauan Sangihe,Kabupaten Kepulauan Sangihe
783,56456,30,Kabupaten Kepulauan Talaud,Kabupaten Kepulauan Talaud
784,56536,30,Kabupaten Minahasa,Kabupaten Minahasa
785,56537,30,Kabupaten Minahasa Selatan,Kabupaten Minahasa Selatan
786,56538,30,Kabupaten Minahasa Tenggara,Kabupaten Minahasa Tenggara
787,56539,30,Kabupaten Minahasa Utara,Kabupaten Minahasa Utara
788,56627,30,Kabupaten Siau Tagulandang Biaro,Kabupaten Siau Tagulandang Biaro
789,56742,30,Kota Bitung,Kota Bitung
790,56759,30,Kota Kotamobagu,Kota Kotamobagu
791,56768,30,Kota Manado,Kota Manado
792,56814,30,Kota Tomohon,Kota Tomohon
793,56835,30,"Laikit, Laikit II (Dimembe)","Laikit, Laikit II (Dimembe)"
794,56858,30,Manado,Manado
795,57035,30,Tomohon,Tomohon
796,57037,30,Tondano,Tondano
797,56234,31,Bukittinggi,Bukittinggi
798,56318,31,Kabupaten Agam,Kabupaten Agam
799,56398,31,Kabupaten Dharmasraya,Kabupaten Dharmasraya
800,56452,31,Kabupaten Kepulauan Mentawai,Kabupaten Kepulauan Mentawai
801,56494,31,Kabupaten Lima Puluh Kota,Kabupaten Lima Puluh Kota
802,56571,31,Kabupaten Padang Pariaman,Kabupaten Padang Pariaman
803,56579,31,Kabupaten Pasaman,Kabupaten Pasaman
804,56580,31,Kabupaten Pasaman Barat,Kabupaten Pasaman Barat
805,56592,31,Kabupaten Pesisir Selatan,Kabupaten Pesisir Selatan
806,56631,31,Kabupaten Sijunjung,Kabupaten Sijunjung
807,56638,31,Kabupaten Solok,Kabupaten Solok
808,56639,31,Kabupaten Solok Selatan,Kabupaten Solok Selatan
809,56664,31,Kabupaten Tanah Datar,Kabupaten Tanah Datar
810,56746,31,Kota Bukittinggi,Kota Bukittinggi
811,56773,31,Kota Padang,Kota Padang
812,56774,31,Kota Padang Panjang,Kota Padang Panjang
813,56783,31,Kota Pariaman,Kota Pariaman
814,56785,31,Kota Payakumbuh,Kota Payakumbuh
815,56794,31,Kota Sawah Lunto,Kota Sawah Lunto
816,56798,31,Kota Solok,Kota Solok
817,56893,31,Padang,Padang
818,56917,31,Pariaman,Pariaman
819,56923,31,Payakumbuh,Payakumbuh
820,56977,31,Sijunjung,Sijunjung
821,56993,31,Solok,Solok
